from,to,tf_idf
Canada,Akrotiri_and_Dhekelia,0.178563591631
Canada,Purchasing_power_parity,0.171080483
Canada,World_War_II,0.286426775041
Canada,Gross_domestic_product,0.202186025364
Canada,Malta,0.186149918804
Canada,France,0.0820668190027
Canada,Coordinated_Universal_Time,0.194796645416
Canada,Gibraltar,0.234006176148
Canada,Norway,0.171080483
Canada,Australia,0.324372854358
Canada,NATO,0.334283032385
Canada,French_language,0.485074816243
Canada,Netherlands,0.234006176148
Canada,Dependent_territory,0.155047014091
Canada,United_States,0.156412947105
Canada,United_Kingdom,0.0758904882655
Canada,Mexico,0.386897161973
Canada,Soviet_Union,0.469656220631
Canada,Human_Development_Index,0.178579441983
Canada,India,0.444651914889
Canada,United_Nations,0.149223302243
Canada,Cyprus,0.114620698267
Canada,Organisation_for_Economic_Co-operation_and_Development,0.525497717596
South_Ossetia,Turkey,0.0970139589474
South_Ossetia,Akrotiri_and_Dhekelia,0.182621855077
South_Ossetia,Qatar,0.36271608935
South_Ossetia,Lebanon,0.312006097291
South_Ossetia,Coordinated_Universal_Time,0.182621855077
South_Ossetia,Syria,0.430297264761
South_Ossetia,South_Korea,0.452062636707
South_Ossetia,List_of_states_with_limited_recognition,0.195516183882
South_Ossetia,Israel,0.194409639773
South_Ossetia,Georgia_(country),0.237400708114
South_Ossetia,State_of_Palestine,0.563467781336
South_Ossetia,NATO,0.379867082255
South_Ossetia,Armenia,0.21385060375
South_Ossetia,Jordan,0.418454722088
South_Ossetia,Abkhazia,0.366625274792
South_Ossetia,Kazakhstan,0.182621855077
South_Ossetia,India,0.454757640227
South_Ossetia,Dependent_territory,0.14535657571
South_Ossetia,United_States,0.159967786812
South_Ossetia,United_Arab_Emirates,0.373430699021
South_Ossetia,Wayback_Machine,0.282169179497
South_Ossetia,Council_of_Europe,0.379867082255
South_Ossetia,European_Union,0.186529127804
South_Ossetia,Russia,0.115189823749
South_Ossetia,Kosovo,0.256633556333
South_Ossetia,Egypt,0.292936474473
South_Ossetia,Soviet_Union,0.480330225646
South_Ossetia,Northern_Cyprus,0.194409639773
South_Ossetia,Azerbaijan,0.194409639773
South_Ossetia,China,0.427059302573
South_Ossetia,Saudi_Arabia,0.418454722088
South_Ossetia,Japan,0.182621855077
South_Ossetia,Cyprus,0.130250793486
Lithuania,Canada,0.207318023412
Lithuania,Turkey,0.0963798807844
Lithuania,Qatar,0.3413798488
Lithuania,South_Ossetia,0.2017133006
Lithuania,Italy,0.14396975075
Lithuania,Purchasing_power_parity,0.164676400749
Lithuania,Serbia,0.268374960872
Lithuania,Hungary,0.235332184033
Lithuania,Monaco,0.19909082225
Lithuania,Bosnia_and_Herzegovina,0.215661926348
Lithuania,Malta,0.19909082225
Lithuania,France,0.100937798773
Lithuania,Andorra,0.241428174971
Lithuania,Coordinated_Universal_Time,0.181428248181
Lithuania,Netherlands,0.237760285926
Lithuania,Slovakia,0.255984760489
Lithuania,Gibraltar,0.225246586667
Lithuania,List_of_transcontinental_countries,0.349899792214
Lithuania,Czech_Republic,0.246538478511
Lithuania,Norway,0.18297377861
Lithuania,Abkhazia,0.194095733713
Lithuania,Europe,0.215661926348
Lithuania,Lebanon,0.29365279745
Lithuania,Israel,0.164676400749
Lithuania,Georgia_(country),0.159597114699
Lithuania,Kingdom_of_the_Netherlands,0.309966841753
Lithuania,Mexico,0.3413798488
Lithuania,Iceland,0.244349089558
Lithuania,Montenegro,0.241428174971
Lithuania,Slovenia,0.217683924582
Lithuania,Unitary_state,0.302860190651
Lithuania,Central_Intelligence_Agency,0.150557917
Lithuania,French_language,0.428007190802
Lithuania,Belgium,0.192122467541
Lithuania,NATO,0.411150253735
Lithuania,Germany,0.238415726923
Lithuania,Kazakhstan,0.171879393014
Lithuania,Spain,0.137114048334
Lithuania,Azerbaijan,0.17382508968
Lithuania,Ukraine,0.265570992468
Lithuania,List_of_states_with_limited_recognition,0.150557917
Lithuania,San_Marino,0.30041407017
Lithuania,United_Nations,0.143637403229
Lithuania,Denmark,0.218847355371
Lithuania,Poland,0.290245232776
Lithuania,United_States,0.158922245722
Lithuania,Kosovo,0.241537464784
Lithuania,Gross_domestic_product,0.17382508968
Lithuania,Morocco,0.29365279745
Lithuania,Liechtenstein,0.254956212828
Lithuania,United_Arab_Emirates,0.351464187314
Lithuania,Croatia,0.253499583719
Lithuania,Luxembourg,0.192122467541
Lithuania,Finland,0.267620431421
Lithuania,Council_of_Europe,0.35752195977
Lithuania,Switzerland,0.207318023412
Lithuania,United_Kingdom,0.0781225614498
Lithuania,Moldova,0.259254851144
Lithuania,Russia,0.135517439704
Lithuania,Akrotiri_and_Dhekelia,0.171879393014
Lithuania,Republic_of_Macedonia,0.287050665762
Lithuania,Romania,0.253499583719
Lithuania,Republic_of_Ireland,0.259254851144
Lithuania,Estonia,0.325928036211
Lithuania,Portugal,0.19909082225
Lithuania,Human_Development_Index,0.175077884297
Lithuania,Egypt,0.291021856993
Lithuania,Cyprus,0.128718431209
Lithuania,Dependent_territory,0.136806188904
Lithuania,The_World_Factbook,0.186586221071
Lithuania,Northern_Cyprus,0.164676400749
Lithuania,Sweden,0.219568534332
Lithuania,Organisation_for_Economic_Co-operation_and_Development,0.428007190802
Lithuania,Tunisia,0.3413798488
Lithuania,Austria,0.235332184033
Lithuania,Latvia,0.440733246946
Lithuania,Greece,0.183831778512
Lithuania,Armenia,0.18297377861
Lithuania,Japan,0.171879393014
Lithuania,European_Union,0.207476249108
Lithuania,Belarus,0.355938813648
Lithuania,Soviet_Union,0.45207550649
Lithuania,Albania,0.19909082225
Lithuania,Bulgaria,0.253499583719
Lithuania,Wayback_Machine,0.217285357474
List_of_transcontinental_countries,Turkey,0.114979506901
List_of_transcontinental_countries,Italy,0.155395921445
List_of_transcontinental_countries,Ottoman_Empire,0.553953921949
List_of_transcontinental_countries,France,0.0994749321245
List_of_transcontinental_countries,Europe,0.244416849861
List_of_transcontinental_countries,Georgia_(country),0.180876729992
List_of_transcontinental_countries,Kingdom_of_the_Netherlands,0.554677506295
List_of_transcontinental_countries,Iceland,0.263741874443
List_of_transcontinental_countries,Central_Intelligence_Agency,0.236989313796
List_of_transcontinental_countries,Council_of_Europe,0.506489443007
List_of_transcontinental_countries,Kazakhstan,0.216440717129
List_of_transcontinental_countries,Spain,0.155395921445
List_of_transcontinental_countries,Netherlands,0.283643849877
List_of_transcontinental_countries,Dependent_territory,0.172274460101
List_of_transcontinental_countries,Denmark,0.198421602203
List_of_transcontinental_countries,United_States,0.189591451037
List_of_transcontinental_countries,Australia,0.393179217404
List_of_transcontinental_countries,European_Union,0.180876729992
List_of_transcontinental_countries,Russia,0.122869145332
List_of_transcontinental_countries,Tunisia,0.429885735526
