from,to,tf_idf
Knowledge_economy,Supply_and_demand,0.138227788498
Knowledge_economy,JEL_classification_codes,0.233291567728
Knowledge_economy,Amartya_Sen,0.346673441434
Knowledge_economy,Labour_economics,0.233291567728
Knowledge_economy,Microeconomics,0.138227788498
Knowledge_economy,Economic_growth,0.156300952183
Knowledge_economy,Opportunity_cost,0.379867082255
Knowledge_economy,Kenneth_Arrow,0.325484971637
Knowledge_economy,Demographic_economics,0.233291567728
Knowledge_economy,Economic_methodology,0.223224302479
Knowledge_economy,Public_economics,0.213290382416
Knowledge_economy,Market_failure,0.357543280629
Knowledge_economy,Monetary_economics,0.233291567728
Knowledge_economy,Paul_Samuelson,0.304991332373
Knowledge_economy,David_Ricardo,0.346673441434
Knowledge_economy,Tjalling_Koopmans,0.368605516316
Knowledge_economy,Monetary_policy,0.427059302573
Knowledge_economy,Unemployment,0.439435944633
Knowledge_economy,Gary_Becker,0.357543280629
Knowledge_economy,Law_and_economics,0.213290382416
Knowledge_economy,Schools_of_economic_thought,0.165503521627
Knowledge_economy,Service_economy,0.233291567728
Knowledge_economy,Milton_Friedman,0.275458279341
Knowledge_economy,Business_economics,0.174820411626
Knowledge_economy,Welfare_economics,0.147209931783
Knowledge_economy,Behavioral_economics,0.11190929864
Knowledge_economy,Post-scarcity_economy,0.353989342837
Knowledge_economy,Aggregate_demand,0.452062636707
Knowledge_economy,Development_economics,0.213290382416
Knowledge_economy,Karl_Marx,0.391335293923
Knowledge_economy,Monopoly,0.368605516316
Knowledge_economy,Market_(economics),0.296709608749
Knowledge_economy,Economic_geography,0.285148395926
Knowledge_economy,Regional_science,0.304991332373
Knowledge_economy,Mathematical_economics,0.156300952183
Knowledge_economy,Ancient_economic_thought,0.391335293923
Knowledge_economy,Classical_economics,0.315154157917
Knowledge_economy,Health_economics,0.233291567728
Knowledge_economy,Monopsony,0.379867082255
Knowledge_economy,Heterodox_economics,0.138227788498
Knowledge_economy,Scarcity,0.368605516316
Knowledge_economy,Game_theory,0.153545415234
Knowledge_economy,Institutional_economics,0.325484971637
Knowledge_economy,Education_economics,0.233291567728
Knowledge_economy,Keynesian_economics,0.285148395926
Knowledge_economy,Friedrich_Hayek,0.325484971637
Knowledge_economy,History_of_economic_thought,0.129351945263
Knowledge_economy,International_economics,0.184254498281
Knowledge_economy,Alfred_Marshall,0.427059302573
Knowledge_economy,Market_structure,0.379867082255
Knowledge_economy,Experimental_economics,0.174820411626
Knowledge_economy,Mainstream_economics,0.315154157917
Knowledge_economy,Business_cycle,0.403017877056
Knowledge_economy,Inflation,0.439435944633
Knowledge_economy,Agricultural_economics,0.233291567728
Knowledge_economy,List_of_economists,0.238133757653
Knowledge_economy,Feminist_economics,0.315154157917
Knowledge_economy,Managerial_economics,0.220275399875
Knowledge_economy,Financial_economics,0.233291567728
Knowledge_economy,Public_good,0.315154157917
Knowledge_economy,Joseph_Schumpeter,0.335989420585
Knowledge_economy,Great_Depression,0.452062636707
Knowledge_economy,Computational_economics,0.174820411626
Knowledge_economy,National_accounts,0.233291567728
Knowledge_economy,Central_bank,0.414922998912
Knowledge_economy,Mercantilism,0.548406811599
Knowledge_economy,Oligopoly,0.357543280629
Knowledge_economy,Neoclassical_economics,0.265916109259
Knowledge_economy,Chicago_school_of_economics,0.379867082255
Knowledge_economy,Organizational_economics,0.211533998641
Knowledge_economy,Information_economics,0.211533998641
Knowledge_economy,Ecological_economics,0.186020252066
Knowledge_economy,Economic_history,0.223224302479
Knowledge_economy,Macroeconomics,0.138227788498
Knowledge_economy,Marxian_economics,0.368605516316
